n	es	nes	pval.es	pval.nes	fdr
GO_ACTIN_BINDING	392	0.318870738232838	1.49080122835992	0.00117868135365395	0.00117856554275897	0.0141212711178037
GO_ACTIN_CYTOSKELETON	443	0.328751707821891	1.54961147665904	3.90375699899081e-06	3.89333279959825e-06	6.84461810929371e-05
GO_ACTIN_FILAMENT_BASED_PROCESS	449	0.368173957729584	1.74500146789409	0	0	0
GO_ACTIVATION_OF_IMMUNE_RESPONSE	426	0.33414851443595	1.56891676538637	1.39856143441808e-05	1.39573433738382e-05	0.000232234865571003
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	278	0.36905822986797	1.67874777307097	1.47548639972683e-12	1.45494727377127e-12	3.68857233741068e-11
GO_ADAPTIVE_IMMUNE_RESPONSE	287	0.347271555123254	1.48511620744911	0.00432588157757174	0.00432491102749644	0.0400631353810955
GO_AMIDE_BIOSYNTHETIC_PROCESS	506	0.333387658617983	1.64527882511816	2.22044604925031e-16	0	0
GO_AMINOGLYCAN_CATABOLIC_PROCESS	67	0.557439730053703	1.82203636046904	0.000506705482309244	0.000506544516664098	0.0066789251337831
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	76	0.498059338719324	1.97005514881868	3.44080319791829e-12	3.41304762230266e-12	8.43551142466184e-11
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	956	0.297965564904706	1.50699435058646	2.66453525910038e-15	2.66453525910038e-15	7.60357960169368e-14
GO_ANCHORING_JUNCTION	488	0.457471721260404	2.19310278580248	0	2.22044604925031e-16	6.52546010593114e-15
GO_ANGIOGENESIS	292	0.387072930795048	1.70749831554054	6.03309412504638e-05	6.02683582748842e-05	0.000941812678121008
GO_ANTIGEN_PROCESSING_AND_PRESENTATION	212	0.373614778569666	1.63558408465063	1.73860867086484e-05	1.73660720111934e-05	0.000286540188184692
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	65	0.583943113939754	2.16081014269708	2.49988918454846e-12	2.47768472405596e-12	6.20156087499939e-11
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	176	0.430967693450932	1.90334732589136	0	0	0
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	90	0.549061632163408	2.19419624443259	0	0	0
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	194	0.411620613929325	1.7542780423553	4.7750692289128e-13	4.72510919280467e-13	1.22956916307917e-11
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	51	0.630814471694169	1.86195655247244	0.00178048467223157	0.00178057117396235	0.0198824837894057
GO_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_PHOSPHORYLATIVE_MECHANISM	32	0.6634415780511	1.78705483623698	0.00509887378217622	0.00509921121942591	0.0453348008371056
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	73	0.483755991703346	1.80562065487788	2.49927415985063e-07	2.49309282662757e-07	4.95848462184818e-06
GO_BEHAVIOR	515	0.292453171083827	1.37914266909141	0.00556397120465446	0.00556102360537625	0.0482724130561015
GO_BETA_CATENIN_TCF_COMPLEX_ASSEMBLY	42	0.532677120246345	1.86211596648829	0.00188063567568053	0.00188120176815265	0.0208573404771727
GO_BIOLOGICAL_ADHESION	1031	0.336853152941869	1.68883448174856	0	0	0
GO_BLOOD_VESSEL_MORPHOGENESIS	363	0.416106942950954	1.88461580109754	0	0	0
GO_BONE_MORPHOGENESIS	78	0.623414104763184	2.09278634419862	1.65373329119589e-06	1.65087807779685e-06	3.00053440170645e-05
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	130	0.454415832794149	1.74246102013	0.00119285574095351	0.00119249032782487	0.0142591910252257
GO_CALMODULIN_BINDING	178	0.440346811111512	1.83159940667861	0.00145048198902165	0.00145031282360131	0.0166659119944901
GO_CARDIAC_CHAMBER_DEVELOPMENT	143	0.47386188969355	1.84388088762433	0.000926289001397795	0.000926062810301498	0.0115163221483178
GO_CARDIAC_CHAMBER_MORPHOGENESIS	103	0.540357766065774	1.92961588375486	0.000540850544779148	0.000540754368015817	0.00709830233748762
GO_CARDIAC_SEPTUM_DEVELOPMENT	84	0.523385287718396	1.92386653381685	2.22693196105794e-08	2.2184373005274e-08	4.78259457453115e-07
GO_CARDIAC_SEPTUM_MORPHOGENESIS	48	0.593894181112044	1.82127287984713	0.00297992905711753	0.00297986845882803	0.0302178668216355
GO_CATALYTIC_STEP_2_SPLICEOSOME	88	0.458474036993986	1.84965455907961	9.50244891917418e-06	9.44841057148871e-06	0.000159919086664137
GO_CATION_TRANSPORTING_ATPASE_ACTIVITY	58	0.570055209266569	1.82725402661008	0.00182082256514127	0.00182137361413071	0.0202614951764032
GO_CCR_CHEMOKINE_RECEPTOR_BINDING	34	0.815819990079683	2.03367081541879	0.000155077513315449	0.000155016042643119	0.00224431314679633
GO_CELL_ACTIVATION	567	0.333397255365288	1.61617195525999	2.22044604925031e-16	2.22044604925031e-16	6.52546010593114e-15
GO_CELL_CELL_ADHESION	607	0.36316773635896	1.72972480589851	2.55644748703432e-08	2.53754284251784e-08	5.43089332273654e-07
GO_CELL_CELL_SIGNALING	766	0.334833866476626	1.56980783678803	2.53130849614536e-13	2.4980018054066e-13	6.616904333873e-12
GO_CELL_CHEMOTAXIS	161	0.4748989499117	1.85540800661076	1.45949918817223e-11	1.44875222929386e-11	3.45071750743501e-10
GO_CELL_DEATH	1000	0.300938809044208	1.56216160593763	2.22044604925031e-16	0	0
GO_CELL_DEVELOPMENT	1425	0.291498562326516	1.50802094180793	2.22044604925031e-15	1.99840144432528e-15	5.75832064957534e-14
GO_CELL_FATE_COMMITMENT	226	0.421425206770992	1.72710052917808	1.46017961377698e-06	1.45671645623846e-06	2.65580990956808e-05
GO_CELL_JUNCTION	1150	0.33807203334114	1.72207171369243	0	0	0
GO_CELL_MOTILITY	834	0.360842058778186	1.78871429632921	0	0	0
GO_CELL_PROJECTION	1785	0.23582315925833	1.23819818483747	3.23649899769407e-07	3.20868731029655e-07	6.27606488143104e-06
